Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SME0305;Métodos Numéricos e Computacionais I;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;53;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Materiais e Manufatura
SME0305;Métodos Numéricos e Computacionais I;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;53;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Materiais e Manufatura
SME0320;Estatística I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;54;EESC - Eng Elétrica - Ênf Eletrônica;70;54;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica - Eletrônica
SME0320;Estatística I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;54;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica - Eletrônica
SME0320;Estatística I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;54;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica - Eletrônica
SME0320;Estatística I;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;47;EESC - Eng Elétrica - Ênf Sist Energia e Autom;70;47;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica - Automação
SME0320;Estatística I;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;47;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica - Automação
SME0320;Estatística I;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;47;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica - Automação
SME0320;Estatística I;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;41;EESC - Engenharia de Produção;3;3;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0320;Estatística I;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;41;EESC - Engenharia Mecânica;67;38;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0320;Estatística I;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;41;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0320;Estatística I;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;41;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0320;Estatística I;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;53;EESC - Engenharia de Produção;70;53;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0320;Estatística I;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;53;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0320;Estatística I;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;53;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0333;Computação numérica e simulações para Engenharia Ambiental I;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;50;42;EESC - Engenharia Ambiental;50;42;0;0;;;;0;0;;;;0;0;0;0;Engenharia Ambiental
SME0333;Computação numérica e simulações para Engenharia Ambiental I;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;50;42;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Ambiental
SME0333;Computação numérica e simulações para Engenharia Ambiental I;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;50;42;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Ambiental
SME0340;Equações Diferenciais Ordinárias;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;53;EESC - Eng Elétrica - Ênf Eletrônica;70;53;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica- Eletrônica
SME0340;Equações Diferenciais Ordinárias;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;53;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica- Eletrônica
SME0340;Equações Diferenciais Ordinárias;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;53;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica- Eletrônica
SME0340;Equações Diferenciais Ordinárias;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;63;EESC - Eng Elétrica - Ênf Sist Energia e Autom;70;63;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica - Automação
SME0340;Equações Diferenciais Ordinárias;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;63;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica - Automação
SME0340;Equações Diferenciais Ordinárias;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;63;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Elétrica - Automação
SME0340;Equações Diferenciais Ordinárias;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;72;72;EESC - Engenharia Mecânica;72;72;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecânica
SME0340;Equações Diferenciais Ordinárias;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;72;72;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecânica
