Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SMA0301;Cálculo I;2025101;Teórica;S;24/02/2025;07/07/2025;90;0;;;;;14;14;;;;0;0;;;;0;0;;;;0;0;0;0;Matemática (NG e Aplicada)
SMA0301;Cálculo I;2025101;Teórica;S;24/02/2025;07/07/2025;90;0;;;;;14;14;;;;0;0;;;;0;0;;;;0;0;0;0;Matemática (NG e Aplicada)
SMA0305;Álgebra I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;44;ICMC - Bach Mat Aplic Computação Cient;30;18;0;0;;;;0;0;;;;0;0;0;0;BMACC, BMA.
SMA0305;Álgebra I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;44;ICMC - Matemática – Bacharelado;35;26;0;0;;;;0;0;;;;0;0;0;0;BMACC, BMA.
SMA0305;Álgebra I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;44;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC, BMA.
SMA0305;Álgebra I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;44;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC, BMA.
SMA0308;Análise II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;35;4;ICMC -  para toda a Unidade;35;4;30;0;ICMC - Matemática – Bacharelado;30;0;0;0;30;0;Bach. Matemática.
SMA0308;Análise II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;35;4;;;;30;0;;;;0;0;30;0;Bach. Matemática.
SMA0308;Análise II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;35;4;;;;30;0;;;;0;0;30;0;Bach. Matemática.
SMA0308;Análise II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;35;4;;;;30;0;;;;0;0;30;0;Bach. Matemática.
SMA0329;História da Matemática;2025101;Teórica;S;24/02/2025;07/07/2025;45;0;;;;;0;0;;;;65;14;ICMC -  para toda a Unidade;65;14;0;0;;;;0;0;0;0;Matemática (Bach)
